,flame,human,point,x,y
0,0,1,0,608,212
0,0,1,1,636,272
0,0,1,2,648,276
0,0,1,3,640,348
0,0,1,5,624,270
0,0,1,6,618,346
0,0,1,7,556,326
0,0,1,8,608,400
0,0,1,9,558,516
0,0,1,10,578,624
0,0,1,11,604,402
0,0,1,12,620,534
0,0,1,13,698,590
0,0,1,14,612,206
0,0,1,15,618,208
0,0,1,17,646,220
0,2,1,0,596,210
0,2,1,1,628,268
0,2,1,2,646,274
0,2,1,3,658,346
0,2,1,5,612,260
0,2,1,6,610,330
0,2,1,7,544,306
0,2,1,8,620,400
0,2,1,9,562,520
0,2,1,10,578,624
0,2,1,11,594,398
0,2,1,12,586,532
0,2,1,13,658,584
0,2,1,14,600,202
0,2,1,15,608,206
0,2,1,17,636,220
0,4,1,0,588,210
0,4,1,1,620,262
0,4,1,2,634,266
0,4,1,3,660,338
0,4,1,5,608,254
0,4,1,6,614,322
0,4,1,7,552,294
0,4,1,8,610,392
0,4,1,9,554,510
0,4,1,10,580,624
0,4,1,11,600,390
0,4,1,12,548,512
0,4,1,13,626,574
0,4,1,14,592,202
0,4,1,15,598,206
0,4,1,17,626,218
0,6,1,0,580,212
0,6,1,1,606,252
0,6,1,2,602,250
0,6,1,3,584,284
0,6,1,4,552,286
0,6,1,5,610,252
0,6,1,6,636,310
0,6,1,7,576,282
0,6,1,8,604,392
0,6,1,9,570,538
0,6,1,10,582,622
0,6,1,11,608,394
0,6,1,12,522,490
0,6,1,13,600,560
0,6,1,14,582,204
0,6,1,15,590,208
0,6,1,17,618,218
0,8,1,0,574,214
0,8,1,1,606,250
0,8,1,2,596,250
0,8,1,5,616,248
0,8,1,6,662,302
0,8,1,7,610,272
0,8,1,8,618,402
0,8,1,9,580,486
0,8,1,10,578,540
0,8,1,11,608,398
0,8,1,12,508,462
0,8,1,13,578,538
0,8,1,14,576,204
0,8,1,15,586,210
0,8,1,17,614,220
0,10,1,0,570,216
0,10,1,1,608,252
0,10,1,2,588,256
0,10,1,5,630,246
0,10,1,6,682,298
0,10,1,7,642,266
0,10,1,8,596,390
0,10,1,9,582,500
0,10,1,10,580,526
0,10,1,11,610,394
0,10,1,12,502,442
