,flame,human,point,x,y
0,0,1,0,606,264
0,0,1,1,644,276
0,0,1,2,614,306
0,0,1,3,590,376
0,0,1,4,560,452
0,0,1,5,672,238
0,0,1,6,674,148
0,0,1,7,680,84
0,0,1,8,656,392
0,0,1,9,654,502
0,0,1,10,686,614
0,0,1,11,708,390
0,0,1,12,680,508
0,0,1,13,682,610
0,0,1,14,596,256
0,0,1,15,614,250
0,0,1,17,640,232
0,2,1,0,606,266
0,2,1,1,644,278
0,2,1,2,614,308
0,2,1,3,590,378
0,2,1,4,558,452
0,2,1,5,674,242
0,2,1,6,674,148
0,2,1,7,680,86
0,2,1,8,658,390
0,2,1,9,656,502
0,2,1,10,686,616
0,2,1,11,710,388
0,2,1,12,680,510
0,2,1,13,682,610
0,2,1,14,596,256
0,2,1,15,612,250
0,2,1,17,640,232
0,4,1,0,606,266
0,4,1,1,644,280
0,4,1,2,614,308
0,4,1,3,590,378
0,4,1,4,560,452
0,4,1,5,676,244
0,4,1,6,674,148
0,4,1,7,682,84
0,4,1,8,658,394
0,4,1,9,654,502
0,4,1,10,686,616
0,4,1,11,710,392
0,4,1,12,680,512
0,4,1,13,620,590
0,4,1,14,596,258
0,4,1,15,612,252
0,4,1,17,638,232
0,6,1,0,606,266
0,6,1,1,644,278
0,6,1,2,614,308
0,6,1,3,590,378
0,6,1,4,558,452
0,6,1,5,674,242
0,6,1,6,676,148
0,6,1,7,682,86
0,6,1,8,658,392
0,6,1,9,660,504
0,6,1,10,686,616
0,6,1,11,710,392
0,6,1,12,678,510
0,6,1,13,684,614
0,6,1,14,596,258
0,6,1,15,612,252
0,6,1,17,638,234
0,8,1,0,606,266
0,8,1,1,644,276
0,8,1,2,614,308
0,8,1,3,590,378
0,8,1,4,558,452
0,8,1,5,672,240
0,8,1,6,676,148
0,8,1,7,684,84
0,8,1,8,658,392
0,8,1,9,662,510
0,8,1,10,686,616
0,8,1,11,708,392
0,8,1,12,676,512
0,8,1,13,684,612
0,8,1,14,596,258
0,8,1,15,612,252
0,8,1,17,638,234
0,10,1,0,606,266
0,10,1,1,644,278
0,10,1,2,614,308
0,10,1,3,590,378
0,10,1,4,558,452
0,10,1,5,674,242
0,10,1,6,678,148
0,10,1,7,684,86
0,10,1,8,658,392
0,10,1,9,662,508
0,10,1,10,686,616
0,10,1,11,708,390
0,10,1,12,680,514
0,10,1,13,682,612
0,10,1,14,596,258
0,10,1,15,612,252
0,10,1,17,638,232
0,12,1,0,604,266
0,12,1,1,644,280
0,12,1,2,614,308
0,12,1,3,590,378
0,12,1,4,558,452
0,12,1,5,676,246
0,12,1,6,678,148
0,12,1,7,686,84
0,12,1,8,658,396
0,12,1,9,658,504
0,12,1,10,686,616
0,12,1,11,708,394
0,12,1,12,680,510
0,12,1,13,684,612
0,12,1,14,594,256
0,12,1,15,612,252
0,12,1,17,638,234
0,14,1,0,606,266
0,14,1,1,644,278
0,14,1,2,614,308
0,14,1,3,588,378
0,14,1,4,556,452
0,14,1,5,672,244
0,14,1,6,680,150
0,14,1,7,688,84
0,14,1,8,658,394
0,14,1,9,662,510
0,14,1,10,684,616
0,14,1,11,706,392
0,14,1,12,676,516
0,14,1,13,620,590
0,14,1,14,596,258
0,14,1,15,612,252
0,14,1,17,638,234
0,16,1,0,606,266
0,16,1,1,644,278
0,16,1,2,614,308
0,16,1,3,588,376
0,16,1,4,556,450
0,16,1,5,672,238
0,16,1,6,680,150
0,16,1,7,688,86
0,16,1,8,658,396
0,16,1,9,664,512
0,16,1,10,684,616
0,16,1,11,708,394
0,16,1,12,678,514
0,16,1,13,620,588
0,16,1,14,596,256
0,16,1,15,612,252
0,16,1,17,638,234
0,18,1,0,606,266
0,18,1,1,644,276
0,18,1,2,614,308
0,18,1,3,588,376
0,18,1,4,556,448
0,18,1,5,672,238
0,18,1,6,680,148
0,18,1,7,690,86
0,18,1,8,658,392
0,18,1,9,662,512
0,18,1,10,684,618
0,18,1,11,710,392
0,18,1,12,676,516
0,18,1,13,682,612
0,18,1,14,596,256
0,18,1,15,614,252
0,18,1,17,638,234
0,20,1,0,606,266
0,20,1,1,644,276
0,20,1,2,614,308
0,20,1,3,588,378
0,20,1,4,556,448
0,20,1,5,674,240
0,20,1,6,680,148
0,20,1,7,688,86
0,20,1,8,658,394
0,20,1,9,664,514
0,20,1,10,618,592
0,20,1,11,710,392
0,20,1,12,676,518
0,20,1,13,682,612
0,20,1,14,596,258
0,20,1,15,614,254
0,20,1,17,638,234
0,22,1,0,606,268
0,22,1,1,644,278
