,flame,human,point,x,y
0,16,1,16,747,294
0,16,1,17,812,287
0,17,1,0,780,306
0,17,1,1,784,359
0,17,1,2,738,368
0,17,1,5,830,352
0,17,1,6,895,276
0,17,1,7,851,202
0,17,1,8,768,505
0,17,1,11,826,496
0,17,1,12,821,605
0,17,1,14,766,292
0,17,1,15,793,290
0,17,1,16,747,294
0,17,1,17,812,287
0,18,1,0,780,306
0,18,1,1,784,361
0,18,1,2,738,368
0,18,1,5,830,352
0,18,1,6,895,276
0,18,1,7,851,202
0,18,1,8,768,505
0,18,1,11,826,493
0,18,1,12,821,605
0,18,1,14,766,292
0,18,1,15,793,290
0,18,1,16,747,294
0,18,1,17,812,287
0,19,1,0,780,303
0,19,1,1,784,361
0,19,1,2,738,368
0,19,1,5,830,352
0,19,1,6,895,276
0,19,1,7,851,204
0,19,1,8,763,503
0,19,1,11,826,493
0,19,1,12,821,602
0,19,1,14,766,292
0,19,1,15,793,290
0,19,1,16,747,294
0,19,1,17,812,287
0,20,1,0,780,303
0,20,1,1,784,361
0,20,1,2,738,368
0,20,1,5,830,352
0,20,1,6,895,276
0,20,1,7,851,202
0,20,1,8,766,503
0,20,1,11,826,491
0,20,1,12,821,600
0,20,1,14,766,292
0,20,1,15,793,290
0,20,1,16,747,294
0,20,1,17,812,287
0,21,1,0,780,303
0,21,1,1,784,359
0,21,1,2,738,368
0,21,1,5,830,352
0,21,1,6,895,276
0,21,1,7,851,204
0,21,1,8,768,512
0,21,1,11,830,500
0,21,1,12,812,660
0,21,1,13,805,774
0,21,1,14,766,292
0,21,1,15,793,287
0,21,1,16,747,294
0,21,1,17,812,287
0,22,1,0,780,303
0,22,1,1,784,359
0,22,1,2,738,371
0,22,1,5,830,352
0,22,1,6,895,276
0,22,1,7,851,204
0,22,1,8,768,510
0,22,1,11,830,500
0,22,1,12,809,660
0,22,1,13,805,771
0,22,1,14,766,292
0,22,1,15,793,287
0,22,1,16,747,294
0,22,1,17,812,287
0,23,1,0,780,303
0,23,1,1,784,361
0,23,1,2,738,371
0,23,1,5,830,352
0,23,1,6,895,276
0,23,1,7,851,204
0,23,1,8,773,510
0,23,1,11,828,498
0,23,1,12,812,660
0,23,1,13,805,774
0,23,1,14,766,292
0,23,1,15,793,287
0,23,1,16,747,294
0,23,1,17,812,287
0,24,1,0,780,303
0,24,1,1,784,361
0,24,1,2,738,371
0,24,1,5,830,352
0,24,1,6,895,276
0,24,1,7,851,204
0,24,1,8,773,510
0,24,1,11,828,500
0,24,1,12,812,660
0,24,1,13,805,771
0,24,1,14,766,292
0,24,1,15,793,287
0,24,1,16,747,294
0,24,1,17,812,287
0,25,1,0,780,303
0,25,1,1,784,361
0,25,1,2,738,371
0,25,1,5,830,352
0,25,1,6,895,276
0,25,1,7,851,204
0,25,1,8,770,514
0,25,1,9,733,623
0,25,1,11,830,500
0,25,1,12,809,660
0,25,1,13,805,774
0,25,1,14,766,292
0,25,1,15,793,290
0,25,1,16,747,294
0,25,1,17,812,287
0,26,1,0,780,303
0,26,1,1,784,361
0,26,1,2,738,371
0,26,1,5,830,352
0,26,1,6,895,276
0,26,1,7,851,204
0,26,1,8,770,512
0,26,1,9,733,623
0,26,1,11,830,498
0,26,1,12,812,660
0,26,1,13,805,774
0,26,1,14,766,292
0,26,1,15,793,290
0,26,1,16,747,294
0,26,1,17,812,287
0,27,1,0,780,303
0,27,1,1,784,361
0,27,1,2,738,371
0,27,1,5,830,352
0,27,1,6,895,276
0,27,1,7,853,204
0,27,1,8,770,510
0,27,1,11,830,498
0,27,1,12,809,660
0,27,1,13,805,774
0,27,1,14,766,292
0,27,1,15,793,290
0,27,1,16,747,294
0,27,1,17,812,287
0,28,1,0,780,303
0,28,1,1,784,361
0,28,1,2,738,371
0,28,1,5,830,352
0,28,1,6,895,276
0,28,1,7,853,204
0,28,1,8,770,510
0,28,1,11,828,496
0,28,1,12,821,600
0,28,1,14,766,292
0,28,1,15,793,290
0,28,1,16,747,294
0,28,1,17,812,287
0,29,1,0,780,303
0,29,1,1,784,361
0,29,1,2,738,368
0,29,1,5,830,352
0,29,1,6,895,276
0,29,1,7,851,204
0,29,1,8,766,507
0,29,1,11,826,498
0,29,1,12,821,605
0,29,1,14,766,292
0,29,1,15,793,290
0,29,1,16,747,294
0,29,1,17,812,287
0,30,1,0,780,303
0,30,1,1,784,361
0,30,1,2,738,368
0,30,1,5,830,352
0,30,1,6,895,276
0,30,1,7,851,204
0,30,1,8,766,507
0,30,1,11,828,498
0,30,1,12,812,663
0,30,1,13,805,774
0,30,1,14,766,292
0,30,1,15,793,290
0,30,1,16,747,294
0,30,1,17,812,287
0,31,1,0,780,303
0,31,1,1,784,361
0,31,1,2,738,368
0,31,1,5,830,352
0,31,1,6,895,276
0,31,1,7,851,204
0,31,1,8,768,505
0,31,1,11,826,493
0,31,1,12,821,605
0,31,1,14,766,292
0,31,1,15,793,290
0,31,1,16,747,294
0,31,1,17,812,287
0,32,1,0,780,303
0,32,1,1,784,359
0,32,1,2,740,368
0,32,1,5,830,352
0,32,1,6,895,276
0,32,1,7,851,204
0,32,1,8,768,503
0,32,1,11,826,493
0,32,1,12,821,605
0,32,1,14,766,292
0,32,1,15,793,290
0,32,1,16,747,294
0,32,1,17,812,287
0,33,1,0,780,303
0,33,1,1,786,359
0,33,1,2,740,368
0,33,1,5,833,352
0,33,1,6,895,278
0,33,1,7,851,204
0,33,1,8,768,510
0,33,1,11,828,498
0,33,1,12,812,660
0,33,1,13,805,774
0,33,1,14,766,292
0,33,1,15,793,290
0,33,1,16,747,294
0,33,1,17,814,287
0,34,1,0,780,303
0,34,1,1,786,359
0,34,1,2,740,368
0,34,1,5,830,352
0,34,1,6,895,278
0,34,1,7,851,204
0,34,1,8,770,517
0,34,1,11,830,500
0,34,1,12,812,660
0,34,1,13,805,774
0,34,1,14,766,292
0,34,1,15,793,290
0,34,1,16,747,294
0,34,1,17,814,287
0,35,1,0,780,303
0,35,1,1,784,361
0,35,1,2,740,368
0,35,1,5,833,352
0,35,1,6,895,278
0,35,1,7,851,204
0,35,1,8,768,512
0,35,1,9,733,626
0,35,1,11,828,500
0,35,1,12,812,660
0,35,1,13,805,774
0,35,1,14,766,292
0,35,1,15,793,290
0,35,1,16,747,294
0,35,1,17,814,287
0,36,1,0,780,303
0,36,1,1,784,361
0,36,1,2,740,368
0,36,1,5,833,352
0,36,1,6,895,278
0,36,1,7,851,204
0,36,1,8,768,510
0,36,1,9,733,626
0,36,1,11,828,500
0,36,1,12,812,660
0,36,1,13,805,774
0,36,1,14,766,292
0,36,1,15,793,290
0,36,1,16,747,294
0,36,1,17,814,287
0,37,1,0,780,303
0,37,1,1,784,359
0,37,1,2,740,368
0,37,1,5,830,352
0,37,1,6,895,278
0,37,1,7,851,204
0,37,1,8,768,507
0,37,1,9,733,626
0,37,1,11,826,496
0,37,1,12,821,602
0,37,1,14,766,292
0,37,1,15,793,290
0,37,1,16,747,294
0,37,1,17,814,287
0,38,1,0,780,303
0,38,1,1,784,359
0,38,1,2,740,368
0,38,1,5,830,352
0,38,1,6,895,278
0,38,1,7,851,204
0,38,1,8,768,507
0,38,1,9,733,626
0,38,1,11,826,496
0,38,1,12,821,602
0,38,1,14,766,292
0,38,1,15,793,290
0,38,1,16,747,294
0,38,1,17,814,287
0,39,1,0,780,303
0,39,1,1,786,359
0,39,1,2,740,366
0,39,1,5,833,352
0,39,1,6,895,278
0,39,1,7,853,204
0,39,1,8,768,510
0,39,1,11,828,498
0,39,1,12,812,660
0,39,1,13,805,774
0,39,1,14,766,292
0,39,1,15,793,290
0,39,1,16,747,294
0,39,1,17,814,287
0,40,1,0,780,303
0,40,1,1,786,359
0,40,1,2,740,368
0,40,1,5,833,352
0,40,1,6,895,278
0,40,1,7,853,204
0,40,1,8,768,510
0,40,1,11,828,498
0,40,1,12,821,600
0,40,1,14,766,292
0,40,1,15,793,290
0,40,1,16,747,294
0,40,1,17,814,287
0,41,1,0,780,303
0,41,1,1,784,361
0,41,1,2,738,368
0,41,1,3,747,463
0,41,1,5,833,352
0,41,1,6,895,278
0,41,1,7,853,204
0,41,1,8,770,507
0,41,1,11,828,493
0,41,1,12,821,598
0,41,1,14,766,292
0,41,1,15,793,290
0,41,1,16,747,294
0,41,1,17,812,287
0,42,1,0,780,303
0,42,1,1,784,359
0,42,1,2,738,368
0,42,1,5,833,352
0,42,1,6,895,278
0,42,1,7,853,204
0,42,1,8,770,507
0,42,1,11,828,496
0,42,1,12,821,600
0,42,1,14,766,292
0,42,1,15,793,290
0,42,1,16,747,294
0,42,1,17,812,287
0,43,1,0,780,303
0,43,1,1,784,359
0,43,1,2,738,366
0,43,1,5,830,352
0,43,1,6,895,278
0,43,1,7,853,204
0,43,1,8,763,505
0,43,1,9,733,626
0,43,1,11,826,496
0,43,1,12,809,660
0,43,1,13,805,774
0,43,1,14,766,292
0,43,1,15,793,290
0,43,1,16,747,294
0,43,1,17,812,287
0,44,1,0,780,303
0,44,1,1,784,359
0,44,1,2,738,366
0,44,1,5,830,352
0,44,1,6,895,278
0,44,1,7,853,204
0,44,1,8,766,507
0,44,1,9,733,623
0,44,1,11,826,496
0,44,1,12,809,660
0,44,1,13,805,774
0,44,1,14,766,292
0,44,1,15,793,290
0,44,1,16,747,294
0,44,1,17,812,287
0,45,1,0,780,303
0,45,1,1,784,359
0,45,1,2,738,368
0,45,1,5,830,352
0,45,1,6,895,278
0,45,1,7,853,204
0,45,1,8,768,510
0,45,1,11,828,498
0,45,1,12,809,660
0,45,1,13,805,774
0,45,1,14,766,292
0,45,1,15,793,290
0,45,1,16,747,294
0,45,1,17,812,287
0,46,1,0,780,303
0,46,1,1,784,359
0,46,1,2,738,368
0,46,1,5,830,352
0,46,1,6,895,276
0,46,1,7,853,204
0,46,1,8,768,510
0,46,1,11,828,500
0,46,1,12,809,660
0,46,1,13,805,774
0,46,1,14,766,292
0,46,1,15,793,290
0,46,1,16,747,294
0,46,1,17,812,287
0,47,1,0,780,303
0,47,1,1,784,359
0,47,1,2,738,368
0,47,1,5,830,352
0,47,1,6,895,278
0,47,1,7,853,204
0,47,1,8,768,503
0,47,1,11,826,491
0,47,1,12,812,663
0,47,1,13,805,774
0,47,1,14,766,292
0,47,1,15,793,290
0,47,1,16,747,294
0,47,1,17,814,287
0,48,1,0,780,303
0,48,1,1,784,359
0,48,1,2,738,368
0,48,1,5,830,352
0,48,1,6,895,278
0,48,1,7,853,204
0,48,1,8,768,503
0,48,1,9,733,623
0,48,1,11,826,491
0,48,1,12,819,598
0,48,1,14,766,292
0,48,1,15,793,290
0,48,1,16,747,294
0,48,1,17,814,287
0,49,1,0,780,303
0,49,1,1,784,359
0,49,1,2,738,366
0,49,1,5,830,352
0,49,1,6,895,278
0,49,1,7,853,206
0,49,1,8,763,503
0,49,1,11,826,493
0,49,1,12,819,598
0,49,1,14,766,292
0,49,1,15,793,290
0,49,1,16,747,294
0,49,1,17,814,287
0,50,1,0,780,303
0,50,1,1,784,359
0,50,1,2,738,366
0,50,1,5,830,352
0,50,1,6,895,278
0,50,1,7,853,206
0,50,1,8,761,500
0,50,1,11,823,491
0,50,1,12,819,598
0,50,1,14,766,292
0,50,1,15,793,290
