,frame,human,point,x,y
0,17,1,3,844,438
0,17,1,5,840,302
0,17,1,6,836,208
0,17,1,7,834,146
0,17,1,8,770,414
0,17,1,9,850,490
0,17,1,10,848,602
0,17,1,11,736,382
0,17,1,12,658,490
0,17,1,13,600,564
0,17,1,16,904,330
0,17,1,17,882,292
0,18,1,2,868,376
0,18,1,3,842,440
0,18,1,5,842,302
0,18,1,6,836,212
0,18,1,8,764,410
0,18,1,9,850,490
0,18,1,10,846,604
0,18,1,11,736,384
0,18,1,12,656,492
0,18,1,13,600,566
0,18,1,16,910,328
0,18,1,17,882,294
0,19,1,2,868,376
0,19,1,3,842,440
0,19,1,5,842,302
0,19,1,6,836,212
0,19,1,8,764,410
0,19,1,9,850,490
0,19,1,10,846,604
0,19,1,11,736,384
0,19,1,12,656,492
0,19,1,13,600,566
0,19,1,16,910,328
0,19,1,17,882,294
0,20,1,2,870,378
0,20,1,3,838,442
0,20,1,5,842,302
0,20,1,6,834,208
0,20,1,7,834,146
0,20,1,8,764,410
0,20,1,9,850,492
0,20,1,10,848,604
0,20,1,11,734,386
0,20,1,12,658,492
0,20,1,13,600,566
0,20,1,16,912,328
0,20,1,17,882,292
0,21,1,2,870,378
0,21,1,3,838,442
0,21,1,5,842,302
0,21,1,6,834,208
0,21,1,7,834,146
0,21,1,8,764,410
0,21,1,9,850,492
0,21,1,10,848,604
0,21,1,11,734,386
0,21,1,12,658,492
0,21,1,13,600,566
0,21,1,16,912,328
0,21,1,17,882,292
0,22,1,2,874,380
0,22,1,5,842,304
0,22,1,6,836,210
0,22,1,7,834,146
0,22,1,8,776,422
0,22,1,9,852,492
0,22,1,10,848,606
0,22,1,11,738,386
0,22,1,12,656,494
0,22,1,13,600,566
0,22,1,16,916,326
0,22,1,17,884,294
0,23,1,2,874,380
0,23,1,5,842,304
0,23,1,6,836,210
0,23,1,7,834,146
0,23,1,8,776,422
0,23,1,9,852,492
0,23,1,10,848,606
0,23,1,11,738,386
0,23,1,12,656,494
0,23,1,13,600,566
0,23,1,16,916,326
0,23,1,17,884,294
0,24,1,2,874,382
0,24,1,5,846,306
0,24,1,6,836,208
0,24,1,8,774,418
0,24,1,9,854,494
0,24,1,10,848,606
0,24,1,11,740,388
0,24,1,12,658,496
0,24,1,13,598,570
0,24,1,16,918,330
0,24,1,17,888,296
0,25,1,2,874,382
0,25,1,5,846,306
0,25,1,6,836,208
0,25,1,8,774,418
0,25,1,9,854,494
0,25,1,10,848,606
0,25,1,11,740,388
0,25,1,12,658,496
0,25,1,13,598,570
0,25,1,16,918,330
0,25,1,17,888,296
0,26,1,2,880,382
0,26,1,5,846,308
0,26,1,6,838,210
0,26,1,17,888,300
0,26,1,8,770,414
0,26,1,9,854,494
0,26,1,10,848,608
0,26,1,11,740,388
0,26,1,12,658,496
0,26,1,13,600,570
0,27,1,2,880,382
0,27,1,5,846,308
0,27,1,6,838,210
0,27,1,17,888,300
0,27,1,8,770,414
0,27,1,9,854,494
0,27,1,10,848,608
0,27,1,11,740,388
0,27,1,12,658,496
0,27,1,13,600,570
0,28,1,2,882,382
0,28,1,5,846,310
0,28,1,6,838,212
0,28,1,7,828,148
0,28,1,8,776,420
0,28,1,9,856,494
0,28,1,10,848,608
0,28,1,11,742,390
0,28,1,12,658,498
0,28,1,13,598,572
0,28,1,17,890,302
0,29,1,2,882,382
0,29,1,5,846,310
0,29,1,6,838,212
0,29,1,7,828,148
0,29,1,8,776,420
0,29,1,9,856,494
0,29,1,10,848,608
0,29,1,11,742,390
0,29,1,12,658,498
0,29,1,13,598,572
0,29,1,17,890,302
0,30,1,2,884,386
0,30,1,5,846,314
0,30,1,6,838,212
0,30,1,7,830,150
0,30,1,8,784,430
0,30,1,9,856,496
0,30,1,10,848,610
0,30,1,11,742,396
0,30,1,12,658,500
0,30,1,13,600,572
0,30,1,17,894,306
0,31,1,2,884,386
0,31,1,5,846,314
0,31,1,6,838,212
0,31,1,7,830,150
0,31,1,8,784,430
0,31,1,9,856,496
0,31,1,10,848,610
0,31,1,11,742,396
0,31,1,12,658,500
0,31,1,13,600,572
0,31,1,17,894,306
0,32,1,2,886,384
0,32,1,5,848,314
0,32,1,6,838,212
0,32,1,7,830,150
0,32,1,8,782,430
0,32,1,9,856,498
0,32,1,10,848,608
0,32,1,11,742,396
0,32,1,12,658,500
0,32,1,13,598,574
0,32,1,16,922,342
0,32,1,17,894,306
0,33,1,2,886,384
0,33,1,5,848,314
0,33,1,6,838,212
0,33,1,7,830,150
0,33,1,8,782,430
0,33,1,9,856,498
0,33,1,10,848,608
0,33,1,11,742,396
0,33,1,12,658,500
0,33,1,13,598,574
0,33,1,16,922,342
0,33,1,17,894,306
0,34,1,2,886,386
0,34,1,5,848,320
0,34,1,6,840,212
0,34,1,7,832,148
0,34,1,8,778,426
0,34,1,9,856,496
0,34,1,10,848,610
0,34,1,11,742,396
0,34,1,12,658,500
0,34,1,13,600,574
0,34,1,17,894,308
0,35,1,2,886,386
0,35,1,5,848,320
0,35,1,6,840,212
0,35,1,7,832,148
0,35,1,8,778,426
0,35,1,9,856,496
0,35,1,10,848,610
0,35,1,11,742,396
0,35,1,12,658,500
0,35,1,13,600,574
0,35,1,17,894,308
0,36,1,2,886,386
0,36,1,5,848,318
0,36,1,6,840,212
0,36,1,7,834,148
0,36,1,8,778,428
0,36,1,9,858,498
0,36,1,10,848,610
0,36,1,11,742,396
0,36,1,12,658,500
0,36,1,13,602,570
0,36,1,17,896,310
0,37,1,2,886,386
0,37,1,5,848,318
0,37,1,6,840,212
0,37,1,7,834,148
0,37,1,8,778,428
0,37,1,9,858,498
0,37,1,10,848,610
0,37,1,11,742,396
0,37,1,12,658,500
0,37,1,13,602,570
0,37,1,17,896,310
0,38,1,2,886,386
0,38,1,5,846,318
0,38,1,6,840,212
0,38,1,7,834,148
0,38,1,8,778,430
0,38,1,9,858,498
0,38,1,10,848,610
0,38,1,11,742,398
0,38,1,12,658,502
0,38,1,13,600,574
0,38,1,17,896,312
0,39,1,2,886,386
0,39,1,5,846,318
0,39,1,6,840,212
0,39,1,7,834,148
0,39,1,8,778,430
0,39,1,9,858,498
0,39,1,10,848,610
0,39,1,11,742,398
0,39,1,12,658,502
0,39,1,13,600,574
0,39,1,17,896,312
0,40,1,2,888,386
0,40,1,5,848,318
0,40,1,6,840,212
0,40,1,7,834,148
0,40,1,8,782,432
0,40,1,9,856,498
0,40,1,10,848,610
0,40,1,11,742,396
0,40,1,12,658,500
0,40,1,13,598,574
0,40,1,16,918,354
0,40,1,17,898,312
0,41,1,2,888,386
0,41,1,5,848,318
0,41,1,6,840,212
0,41,1,7,834,148
0,41,1,8,782,432
0,41,1,9,856,498
0,41,1,10,848,610
0,41,1,11,742,396
0,41,1,12,658,500
0,41,1,13,598,574
0,41,1,16,918,354
0,41,1,17,898,312
0,42,1,2,886,386
0,42,1,5,848,320
0,42,1,6,840,212
0,42,1,7,834,148
0,42,1,8,778,426
0,42,1,9,858,498
0,42,1,10,848,612
0,42,1,11,742,394
0,42,1,12,658,500
0,42,1,13,600,570
0,42,1,16,918,354
0,42,1,17,898,314
0,43,1,2,886,386
0,43,1,5,848,320
0,43,1,6,840,212
0,43,1,7,834,148
0,43,1,8,778,426
0,43,1,9,858,498
0,43,1,10,848,612
0,43,1,11,742,394
0,43,1,12,658,500
0,43,1,13,600,570
0,43,1,16,918,354
0,43,1,17,898,314
0,44,1,2,888,386
0,44,1,5,846,320
0,44,1,6,838,212
0,44,1,7,832,146
0,44,1,8,774,424
0,44,1,9,856,496
0,44,1,10,850,608
0,44,1,11,740,396
0,44,1,12,658,500
0,44,1,13,600,572
0,44,1,17,898,312
0,45,1,2,888,386
0,45,1,5,846,320
0,45,1,6,838,212
0,45,1,7,832,146
0,45,1,8,774,424
0,45,1,9,856,496
0,45,1,10,850,608
0,45,1,11,740,396
0,45,1,12,658,500
0,45,1,13,600,572
0,45,1,17,898,312
0,46,1,2,888,386
0,46,1,5,850,320
0,46,1,6,838,210
0,46,1,7,832,146
0,46,1,8,772,420
0,46,1,9,856,496
0,46,1,10,848,610
0,46,1,11,740,394
0,46,1,12,658,500
0,46,1,13,602,568
0,46,1,17,898,312
0,47,1,2,888,386
0,47,1,5,850,320
0,47,1,6,838,210
0,47,1,7,832,146
0,47,1,8,772,420
