,frame,human,point,x,y
0,28,1,17,663,167
0,30,1,0,616,173
0,30,1,1,643,238
0,30,1,2,602,240
0,30,1,5,684,240
0,30,1,6,764,258
0,30,1,7,844,238
0,30,1,8,597,388
0,30,1,9,600,523
0,30,1,10,602,632
0,30,1,11,655,394
0,30,1,12,706,521
0,30,1,13,760,598
0,30,1,14,612,165
0,30,1,15,630,163
0,30,1,17,663,169
0,32,1,0,618,175
0,32,1,1,643,240
0,32,1,2,600,244
0,32,1,5,684,242
0,32,1,6,764,260
0,32,1,7,844,240
0,32,1,8,597,386
0,32,1,9,600,523
0,32,1,10,602,632
0,32,1,11,653,390
0,32,1,12,675,468
0,32,1,14,612,165
0,32,1,15,630,163
0,32,1,17,663,169
0,34,1,0,618,175
0,34,1,1,643,238
0,34,1,2,602,242
0,34,1,5,682,242
0,34,1,6,764,260
0,34,1,7,844,240
0,34,1,8,597,388
0,34,1,9,600,525
0,34,1,10,602,632
0,34,1,11,653,394
0,34,1,12,712,527
0,34,1,13,758,596
0,34,1,14,612,167
0,34,1,15,630,163
0,34,1,17,663,171
0,36,1,0,618,175
0,36,1,1,643,240
0,36,1,2,600,246
0,36,1,5,684,242
0,36,1,6,764,260
0,36,1,7,844,240
0,36,1,8,597,392
0,36,1,9,602,529
0,36,1,10,602,634
0,36,1,11,655,397
0,36,1,12,708,525
0,36,1,13,780,647
0,36,1,14,612,167
0,36,1,15,630,163
0,36,1,17,663,171
0,38,1,0,618,175
0,38,1,1,643,242
0,38,1,2,600,246
0,38,1,3,579,325
0,38,1,5,684,242
0,38,1,6,764,260
0,38,1,7,844,242
0,38,1,8,597,390
0,38,1,9,602,529
0,38,1,10,602,634
0,38,1,11,655,397
0,38,1,12,712,527
0,38,1,13,780,647
0,38,1,14,612,167
0,38,1,15,630,165
0,38,1,17,663,171
0,40,1,0,618,177
0,40,1,1,643,242
0,40,1,2,602,246
0,40,1,5,684,244
0,40,1,6,762,260
0,40,1,7,846,242
0,40,1,8,597,392
0,40,1,9,602,525
0,40,1,10,602,634
0,40,1,11,655,397
0,40,1,12,708,525
0,40,1,13,780,647
0,40,1,14,612,167
0,40,1,15,630,165
0,40,1,17,663,171
0,42,1,0,618,177
0,42,1,1,643,244
0,42,1,2,600,248
0,42,1,3,581,323
0,42,1,5,684,244
0,42,1,6,764,260
0,42,1,7,846,242
0,42,1,8,597,390
0,42,1,9,600,527
0,42,1,10,602,634
0,42,1,11,655,394
0,42,1,12,710,525
0,42,1,13,780,647
0,42,1,14,612,167
0,42,1,15,630,165
0,42,1,17,663,171
0,44,1,0,618,177
0,44,1,1,645,242
0,44,1,2,602,246
0,44,1,5,684,244
0,44,1,6,764,260
0,44,1,7,844,242
0,44,1,8,597,390
0,44,1,9,600,525
0,44,1,10,602,634
0,44,1,11,653,397
0,44,1,12,706,527
0,44,1,13,756,594
0,44,1,14,612,167
0,44,1,15,630,165
0,44,1,17,665,173
0,46,1,0,618,177
0,46,1,1,647,240
0,46,1,2,608,238
0,46,1,5,684,242
0,46,1,6,764,260
0,46,1,7,846,242
0,46,1,8,597,390
0,46,1,9,600,525
0,46,1,10,602,634
0,46,1,11,655,397
0,46,1,12,710,529
0,46,1,13,758,598
0,46,1,14,612,167
0,46,1,15,632,165
0,46,1,17,665,173
0,48,1,0,618,177
0,48,1,1,645,240
0,48,1,2,604,244
0,48,1,5,686,242
0,48,1,6,764,260
0,48,1,7,846,240
0,48,1,8,597,390
0,48,1,9,600,521
0,48,1,10,602,634
0,48,1,11,655,397
0,48,1,12,714,531
0,48,1,13,780,649
0,48,1,14,614,167
0,48,1,15,632,165
0,48,1,17,665,173
0,50,1,0,618,177
0,50,1,1,645,240
0,50,1,2,604,244
0,50,1,5,684,242
0,50,1,6,764,260
0,50,1,7,846,240
0,50,1,8,600,388
0,50,1,9,602,523
0,50,1,10,602,634
0,50,1,11,655,394
0,50,1,12,712,529
0,50,1,13,758,598
0,50,1,14,614,167
0,50,1,15,632,165
0,50,1,17,665,173
0,52,1,0,618,177
0,52,1,1,645,240
0,52,1,2,606,244
0,52,1,5,684,242
0,52,1,6,764,260
0,52,1,7,846,240
0,52,1,8,600,390
0,52,1,9,602,527
0,52,1,10,604,636
0,52,1,11,655,394
0,52,1,12,712,529
0,52,1,13,782,649
0,52,1,14,614,167
0,52,1,15,632,165
0,52,1,17,665,173
0,54,1,0,618,177
0,54,1,1,647,240
0,54,1,2,606,242
0,54,1,5,686,242
0,54,1,6,764,260
0,54,1,7,846,240
0,54,1,8,600,390
0,54,1,9,602,527
0,54,1,10,604,636
0,54,1,11,655,394
0,54,1,12,712,531
