,flame,human,point,x,y
0,28,1,11,742,376
0,28,1,12,752,516
0,28,1,13,770,624
0,28,1,16,768,158
0,28,1,17,714,176
0,30,1,1,754,226
0,30,1,2,802,214
0,30,1,5,706,238
0,30,1,6,708,320
0,30,1,7,658,382
0,30,1,8,804,374
0,30,1,9,844,492
0,30,1,10,844,622
0,30,1,11,744,376
0,30,1,12,758,534
0,30,1,13,768,626
0,30,1,16,760,160
0,30,1,17,708,176
0,32,1,1,750,224
0,32,1,2,802,212
0,32,1,3,836,262
0,32,1,4,840,260
0,32,1,5,704,236
0,32,1,6,690,312
0,32,1,7,632,364
0,32,1,8,802,376
0,32,1,9,842,492
0,32,1,10,842,618
0,32,1,11,744,382
0,32,1,12,758,524
0,32,1,13,768,626
0,32,1,16,754,160
0,32,1,17,702,172
0,34,1,0,768,148
0,34,1,1,752,222
0,34,1,2,802,212
0,34,1,3,872,240
0,34,1,4,918,262
0,34,1,5,704,232
0,34,1,6,676,308
0,34,1,7,608,338
0,34,1,8,796,384
0,34,1,9,840,504
0,34,1,10,834,622
0,34,1,11,740,390
0,34,1,12,756,522
0,34,1,13,764,624
0,34,1,14,760,146
0,34,1,16,752,164
0,36,1,0,776,148
0,36,1,1,754,224
0,36,1,2,804,216
0,36,1,3,896,242
0,36,1,4,968,266
0,36,1,5,706,234
0,36,1,6,668,304
0,36,1,8,802,388
0,36,1,9,830,512
0,36,1,10,820,624
0,36,1,11,742,390
0,36,1,12,756,516
0,36,1,13,762,626
0,36,1,14,768,144
0,36,1,16,752,164
0,38,1,0,784,150
0,38,1,1,760,228
0,38,1,2,806,218
0,38,1,3,890,244
0,38,1,4,972,278
0,38,1,5,716,240
0,38,1,6,668,300
0,38,1,7,624,288
0,38,1,8,804,390
0,38,1,9,824,500
0,38,1,10,816,624
0,38,1,11,746,394
0,38,1,12,760,522
0,38,1,13,762,628
0,38,1,14,774,146
0,38,1,16,756,166
0,40,1,0,794,150
0,40,1,1,768,226
0,40,1,2,804,216
0,40,1,3,856,250
0,40,1,4,924,296
0,40,1,5,730,236
0,40,1,6,690,294
0,40,1,7,674,272
0,40,1,8,804,394
0,40,1,9,822,508
0,40,1,10,816,624
0,40,1,11,750,396
0,40,1,12,764,516
0,40,1,13,762,624
0,40,1,14,784,146
0,40,1,16,764,162
0,42,1,0,804,152
0,42,1,1,768,222
0,42,1,2,794,216
0,42,1,3,798,260
0,42,1,4,852,328
0,42,1,5,742,230
0,42,1,6,730,292
0,42,1,8,796,382
0,42,1,9,824,512
0,42,1,10,816,626
0,42,1,11,754,390
0,42,1,12,776,508
0,42,1,13,764,612
0,42,1,14,794,146
0,42,1,16,770,162
0,44,1,0,810,156
0,44,1,1,776,222
0,44,1,2,784,224
0,44,1,3,748,282
0,44,1,4,788,360
0,44,1,5,770,218
0,44,1,6,812,270
0,44,1,7,848,264
0,44,1,8,778,384
0,44,1,9,816,496
0,44,1,10,812,628
0,44,1,11,816,378
0,44,1,12,828,482
0,44,1,14,800,148
0,44,1,16,774,164
0,46,1,0,812,154
0,46,1,1,782,230
0,46,1,2,764,228
0,46,1,3,712,302
0,46,1,4,750,374
0,46,1,5,800,232
0,46,1,6,836,290
0,46,1,7,902,278
0,46,1,8,772,404
0,46,1,9,806,526
