,flame,human,point,x,y
0,0,1,0,618,160
0,0,1,1,660,226
0,0,1,2,610,226
0,0,1,3,542,264
0,0,1,4,524,192
0,0,1,5,708,228
0,0,1,6,750,306
0,0,1,7,750,386
0,0,1,8,620,382
0,0,1,9,594,518
0,0,1,10,576,618
0,0,1,11,676,374
0,0,1,12,696,532
0,0,1,13,704,624
0,0,1,14,618,150
0,0,1,15,628,148
0,0,1,17,664,154
0,2,1,0,616,166
0,2,1,1,658,232
0,2,1,2,610,232
0,2,1,3,538,266
0,2,1,4,522,196
0,2,1,5,706,232
0,2,1,6,748,310
0,2,1,7,750,390
0,2,1,8,618,392
0,2,1,9,596,526
0,2,1,10,576,624
0,2,1,11,676,382
0,2,1,12,694,534
0,2,1,13,706,628
0,2,1,14,614,158
0,2,1,15,626,154
0,2,1,17,660,160
0,4,1,0,616,166
0,4,1,1,658,234
0,4,1,2,608,234
0,4,1,3,536,264
0,4,1,4,520,192
0,4,1,5,704,234
0,4,1,6,744,314
0,4,1,7,748,394
0,4,1,8,618,396
0,4,1,9,596,524
0,4,1,10,576,626
0,4,1,11,676,388
0,4,1,12,694,540
0,4,1,13,704,632
0,4,1,14,614,158
0,4,1,15,626,154
0,4,1,17,660,162
0,6,1,0,616,166
0,6,1,1,656,234
0,6,1,2,608,234
0,6,1,3,532,262
0,6,1,4,516,188
0,6,1,5,704,234
0,6,1,6,736,314
0,6,1,7,744,394
0,6,1,8,618,396
0,6,1,9,596,528
0,6,1,10,574,626
0,6,1,11,676,386
0,6,1,12,694,542
0,6,1,13,706,632
0,6,1,14,614,156
0,6,1,15,626,154
0,6,1,17,660,162
0,8,1,0,616,166
0,8,1,1,656,236
0,8,1,2,608,236
0,8,1,3,532,260
0,8,1,4,512,186
0,8,1,5,704,236
0,8,1,6,728,316
0,8,1,7,734,398
0,8,1,8,618,394
0,8,1,9,596,530
0,8,1,10,574,628
0,8,1,11,674,384
0,8,1,12,694,538
0,8,1,13,706,634
0,8,1,14,614,158
0,8,1,15,626,156
0,8,1,17,660,164
0,10,1,0,616,166
0,10,1,1,656,236
0,10,1,2,610,236
0,10,1,3,530,254
0,10,1,4,508,180
0,10,1,5,704,236
0,10,1,6,724,318
0,10,1,7,722,398
0,10,1,8,618,398
0,10,1,9,596,526
0,10,1,10,574,628
0,10,1,11,676,388
0,10,1,12,694,534
0,10,1,13,706,634
0,10,1,14,616,158
0,10,1,15,626,154
0,10,1,17,662,164
0,12,1,0,618,164
0,12,1,1,656,234
0,12,1,2,610,236
0,12,1,3,526,248
0,12,1,4,506,174
0,12,1,5,704,234
0,12,1,6,720,320
0,12,1,7,712,398
0,12,1,8,618,396
0,12,1,9,596,528
0,12,1,10,574,630
0,12,1,11,676,390
0,12,1,12,696,538
0,12,1,13,708,634
0,12,1,14,616,156
0,12,1,15,628,154
0,12,1,17,662,162
0,14,1,0,620,162
0,14,1,1,658,232
0,14,1,2,610,234
0,14,1,3,524,240
0,14,1,4,504,166
0,14,1,5,704,232
0,14,1,6,718,318
0,14,1,7,702,394
0,14,1,8,618,394
0,14,1,9,594,526
0,14,1,10,574,628
0,14,1,11,676,390
0,14,1,12,698,538
0,14,1,13,708,632
0,14,1,14,620,152
0,14,1,15,630,152
0,14,1,17,664,162
