,flame,human,point,x,y
0,0,1,0,554,186
0,0,1,1,552,256
0,0,1,2,498,254
0,0,1,3,480,340
0,0,1,4,450,422
0,0,1,5,606,258
0,0,1,6,632,336
0,0,1,7,658,420
0,0,1,8,510,416
0,0,1,9,494,548
0,0,1,10,486,680
0,0,1,11,576,414
0,0,1,12,584,552
0,0,1,13,586,656
0,0,1,14,542,176
0,0,1,15,566,174
0,0,1,16,526,182
0,0,1,17,580,180
0,2,1,0,546,182
0,2,1,1,542,254
0,2,1,2,488,254
0,2,1,3,472,340
0,2,1,4,446,424
0,2,1,5,598,256
0,2,1,6,624,334
0,2,1,7,648,418
0,2,1,8,504,416
0,2,1,9,492,562
0,2,1,10,488,686
0,2,1,11,572,408
0,2,1,12,578,536
0,2,1,13,584,654
0,2,1,14,534,172
0,2,1,15,556,170
0,2,1,16,516,180
0,2,1,17,570,176
0,4,1,0,536,180
0,4,1,1,534,254
0,4,1,2,480,256
0,4,1,3,464,342
0,4,1,4,442,426
0,4,1,5,588,254
0,4,1,6,612,334
0,4,1,7,634,420
0,4,1,8,498,420
0,4,1,9,490,564
0,4,1,10,488,680
0,4,1,11,566,412
0,4,1,12,578,562
0,4,1,13,584,658
0,4,1,14,524,168
0,4,1,15,546,166
0,4,1,16,506,180
0,4,1,17,562,174
0,6,1,0,528,178
0,6,1,1,526,254
0,6,1,2,472,256
0,6,1,3,458,344
0,6,1,4,434,426
0,6,1,5,580,254
0,6,1,6,598,336
0,6,1,7,614,424
0,6,1,8,490,420
0,6,1,9,484,550
0,6,1,10,490,686
0,6,1,11,558,412
0,6,1,12,564,530
0,6,1,14,514,168
0,6,1,15,538,166
0,6,1,16,496,178
0,6,1,17,552,174
0,8,1,0,518,174
0,8,1,1,518,254
0,8,1,2,462,256
0,8,1,3,450,344
0,8,1,4,426,424
0,8,1,5,574,254
0,8,1,6,586,338
0,8,1,7,594,428
0,8,1,8,484,420
0,8,1,9,480,558
0,8,1,11,552,416
0,8,1,12,566,542
0,8,1,13,582,656
0,8,1,14,506,166
0,8,1,15,530,162
0,8,1,16,486,178
0,8,1,17,544,172
0,10,1,0,508,174
0,10,1,1,508,254
0,10,1,2,454,258
0,10,1,3,442,344
0,10,1,4,416,422
0,10,1,5,564,252
0,10,1,6,574,340
0,10,1,7,582,434
0,10,1,8,474,418
0,10,1,9,474,554
0,10,1,11,542,410
0,10,1,12,554,532
0,10,1,14,494,164
0,10,1,15,518,164
0,10,1,16,476,176
0,10,1,17,534,174
0,12,1,0,502,176
0,12,1,1,502,256
0,12,1,2,446,260
0,12,1,3,434,350
0,12,1,4,408,426
0,12,1,5,560,254
0,12,1,6,572,342
0,12,1,7,580,436
0,12,1,8,468,422
0,12,1,9,472,554
0,12,1,11,536,416
0,12,1,12,564,568
0,12,1,13,580,660
0,12,1,14,488,166
0,12,1,15,512,164
0,12,1,16,468,178
0,12,1,17,526,174
0,14,1,0,494,172
0,14,1,1,496,254
0,14,1,2,440,256
0,14,1,3,426,346
0,14,1,4,400,428
0,14,1,5,552,250
0,14,1,6,570,338
0,14,1,7,582,430
0,14,1,8,462,418
0,14,1,9,468,550
0,14,1,11,530,408
0,14,1,12,544,534
0,14,1,13,580,652
0,14,1,14,480,162
0,14,1,15,504,160
0,14,1,16,462,176
0,14,1,17,520,170
0,16,1,0,488,170
0,16,1,1,488,252
0,16,1,2,434,256
0,16,1,3,418,344
0,16,1,4,394,428
0,16,1,5,544,250
0,16,1,6,570,334
0,16,1,7,582,424
0,16,1,8,458,416
0,16,1,9,464,546
0,16,1,11,528,406
0,16,1,12,548,524
0,16,1,13,580,660
0,16,1,14,474,160
0,16,1,15,498,158
0,16,1,16,454,174
0,16,1,17,514,168
0,18,1,0,484,170
0,18,1,1,484,252
0,18,1,2,428,256
0,18,1,3,414,344
0,18,1,4,392,430
0,18,1,5,540,248
0,18,1,6,566,332
0,18,1,7,578,420
0,18,1,8,454,420
0,18,1,9,464,552
0,18,1,10,482,676
0,18,1,11,526,412
0,18,1,12,544,536
0,18,1,13,572,604
0,18,1,14,470,160
0,18,1,15,494,158
0,18,1,16,448,172
0,18,1,17,508,168
0,20,1,0,480,168
0,20,1,1,480,252
0,20,1,2,424,256
0,20,1,3,410,344
0,20,1,4,392,432
0,20,1,5,536,248
0,20,1,6,560,330
0,20,1,7,572,418
0,20,1,8,452,416
0,20,1,9,462,544
0,20,1,11,522,410
0,20,1,12,542,538
0,20,1,14,466,158
0,20,1,15,490,158
0,20,1,16,444,172
0,20,1,17,502,168
0,22,1,0,478,170
0,22,1,1,478,254
0,22,1,2,422,258
0,22,1,3,408,346
0,22,1,4,394,434
0,22,1,5,534,250
0,22,1,6,556,332
0,22,1,7,564,416
0,22,1,8,452,418
0,22,1,9,462,548
0,22,1,11,522,410
0,22,1,12,538,540
0,22,1,14,464,162
0,22,1,15,488,160
0,22,1,16,442,174
